Category,Title,Author,Price,cover_img
HQs,PRIMO,"MEDEIROS, EDUARDO","R$ 14,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488711-300-300/2112337695.jpg?v=638296816831130000
HQs,O ÚLTIMO DETETIVE - COM BOOKPLATE EXCLUSIVO,"ALVAREZ, CLAUDIO","R$ 59,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488709-300-300/2112337693.jpg?v=638296816819200000
HQs,O CIDADAO INCOMUM 2 - SURREAL,"IVO, PEDRO","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488708-300-300/2112337691.jpg?v=638296816807570000
HQs,NUNCA SE ESQUEÇA,"ANDREWS, RYAN","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488707-300-300/2112337690.jpg?v=638296816797030000
HQs,LAERTEVISÃO - COISAS QUE NÃO ESQUECI,"COUTINHO, LAERTE","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488706-300-300/2112337689.jpg?v=638296816787200000
HQs,JUAN BUSCAMARES,"VEGA, FELIX","R$ 119,00",https://livrariacultura.vteximg.com.br/arquivos/ids/156488705-300-300/2112337688.jpg?v=638296816777600000
HQs,BENDITA CURA,"CESAR, MARIO","R$ 119,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488704-300-300/2112337687.jpg?v=638296816767130000
HQs,TUA TERAPIA,"ROLON, GABRIEL / TUTE, JUAN MATÍAS LOISEAU","R$ 89,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156488629-300-300/2112337604.jpg?v=638285661415170000
HQs,O PAPAI É POP EM QUADRINHOS,"Roteirista:OLIVO, GLEISON P.|Ilustrador:BRANCHER FILHO, PAULO|Autor:PIANGERS, MARCOS","R$ 34,95",https://livrariacultura.vteximg.com.br/arquivos/ids/156446117-300-300/720009520.jpg?v=638213239337430000
HQs,O PLANETA LILÁS,"Autor:ZIRALDO|Colaborador:LINS, GUTO","R$ 52,90",https://livrariacultura.vteximg.com.br/arquivos/ids/153418238-300-300/2112337301.jpg?v=638194011584970000
HQs,CORAÇÃO DAS TREVAS (EDIÇÃO EM QUADRINHOS),"Autor:CONRAD, JOSEPH|Ilustrador:KUPER, PETER|Tradutor:ASSIS, ÉRICO","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/153417649-300-300/2112337267.jpg?v=638194008728030000
Engenharia,SENSORES INDUSTRIAIS,"Autor:THOMAZINI, DANIEL|Autor:ALBUQUERQUE, PEDRO URBANO BRAGA DE","R$ 92,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148158178-300-300/831068.jpg?v=638144275692170000
Engenharia,A ERA DA IA,"Autor:SCHMIDT, ERIC|Tradutor:SCHREINER, VANESSA","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/153289042-300-300/2112336791.jpg?v=638193193775970000
Engenharia,DESENHO TÉCNICO MODERNO,"Autor:SILVA, ARLINDO","R$ 249,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148568736-300-300/2112335021.jpg?v=638146487838400000
Engenharia,INTRODUÇÃO À ROBÓTICA,"Autor:MATARIC, MAJA J.|Tradutor:FERASOLI FILHO, HUMBERTO|Tradutor:SILVA, JOSE REINALDO|Tradutor:ALVES, SILAS FRANCO DOS REIS|Ilustrador:KOENIG, NATHAN","R$ 113,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148331383-300-300/2112334935.png?v=638145006928830000
Engenharia,TOPOGRAFIA PARA ENGENHARIA - TEORIA E PRÁTICA DE GEOMÁTICA,"Autor:SILVA, IRINEU DA","R$ 165,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148211321-300-300/2112334842.jpg?v=638144350690900000
Engenharia,INSTALAÇÕES ELÉTRICAS INDUSTRIAIS,"Autor:MAMEDE FILHO, JOAO","R$ 485,00",https://livrariacultura.vteximg.com.br/arquivos/ids/152718751-300-300/2112334738.jpg?v=638189707363000000
Engenharia,GERENCIAMENTO E COORDENAÇÃO DE PROJETOS BIM,"Autor:AMORIM, SERGIO ROBERTO LEUSIN DE","R$ 129,00",https://livrariacultura.vteximg.com.br/arquivos/ids/152162916-300-300/2112333188.jpg?v=638186290853100000
Engenharia,TERMODINÂMICA NA ENGENHARIA QUÍMICA,"Autor:TAVARES, FREDERICO WANDERLEY","R$ 159,00",https://livrariacultura.vteximg.com.br/arquivos/ids/151323986-300-300/2112332773.jpg?v=638175922704200000
Engenharia,Instalações Elétricas,N/A,"R$ 59,00",https://livrariacultura.vteximg.com.br/arquivos/ids/137985988-300-300/image-3512565935b6463a92a39524e3c86c86.jpg?v=638079228657970000
Engenharia,FUNDAMENTOS DE TRANSFERÊNCIA DE CALOR PARA ENGENHARIA,"Autor:SIMÕES MOREIRA, JOSÉ ROBERTO","R$ 189,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148210697-300-300/2112331456.jpg?v=638144350197530000
Engenharia,"DESEMPENHO DAS EDIFICAÇÕES - PROJETO, CONSTRUÇÃO E MANUTENÇÃO","Autor:OLIVEIRA, LUCIANA ALVES DE","R$ 69,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148210644-300-300/2112331040.jpg?v=638144350163130000
Engenharia,REPENSANDO ERGONOMIA - DO EDIFÍCIO AO ESPAÇO URBANO,"Autor:MÜLFARTH, ROBERTA CONSENTINO KRONKA","R$ 159,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148209942-300-300/2112327878.png?v=638144349624570000
Engenharia,Resistência dos materiais,N/A,"R$ 59,00",https://livrariacultura.vteximg.com.br/arquivos/ids/124036995-300-300/image-5a41bfe07f5144a38731352daa49d35b.jpg?v=637989603314830000
Engenharia,Proteção de Sistemas Elétricos de Potência,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/142299382-300-300/image-369672e57b9b469b87fc8fa095049ccc.jpg?v=638114296298170000
Engenharia,Mecânica técnica e resistência dos materiais,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/140017850-300-300/image-cc9b88afe10947eaba11f0ff98d11a02.jpg?v=638102124452700000
Engenharia,Análise de Estruturas,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/138239434-300-300/image-da642725b3bb4d0eb83af5218ae4124e.jpg?v=638084628388800000
Engenharia,Algoritmos: Teoria e Prática,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/137986000-300-300/image-9ebd8897a5b74a70a555fdf802a8f9de.jpg?v=638079228695000000
Engenharia,Ciência e Engenharia de Materiais - Uma Introdução,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/137985896-300-300/image-326d02dbdb0041afac1e6572099d4ff1.jpg?v=638079228481100000
Engenharia,Mecânica dos Solos,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/137981571-300-300/image-bfcdca369ff542b98562b5c73d50984f.jpg?v=638079156446430000
Engenharia,Microbiologia Industrial: Alimentos - Vol.2,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/137943920-300-300/image-287c5a7bb9c147d39c1d504b9d831e07.jpg?v=638078508359400000
Engenharia,Incropera - Fundamentos de Transferência de Calor e de Massa,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/137902002-300-300/image-2795355fc5844bb1be6e7cb42843a2c1.jpg?v=638077509174730000
Engenharia,Automação e instrumentação industrial com Arduino: Teoria e projetos,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/136961879-300-300/image-f49e736cc96a470fbd5e1f4b121e8db4.jpg?v=638067132313100000
Engenharia,Elementos de eletrônica digital,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/128761517-300-300/image-124a53d3a92242b9bd310148bde69fae.jpg?v=638001468562370000
Engenharia,Manual de Compostagem: Processo de Baixo Custo,N/A,N/A,https://livrariacultura.vteximg.com.br/arquivos/ids/127155743-300-300/image-4476436cfa994ce19917a3ebeb59c373.jpg?v=637995636285370000
Humor e Entretenimento,ESTRESSE E BURNOUT,"Autor:COQUETEL, EQUIPE","R$ 24,99",https://livrariacultura.vteximg.com.br/arquivos/ids/151334143-300-300/2112327873.jpg?v=638176083162130000
Humor e Entretenimento,SCHOTTENFREUDE,"Autor:SCHOTT, BEN","R$ 60,96",https://livrariacultura.vteximg.com.br/arquivos/ids/156488732-300-300/720009527.jpg?v=638303948782300000
Humor e Entretenimento,LIVRO COQUETEL OURO EURO NÍVEL MÉDIO ED 35,"Autor:COQUETEL, EQUIPE","R$ 15,99",https://livrariacultura.vteximg.com.br/arquivos/ids/156391248-300-300/2112337303.png?v=638212921128870000
Humor e Entretenimento,LIVRO COQUETEL CRIPTOGRAMA NÍVEL MÉDIO ED 83,"Autor:COQUETEL, EQUIPE","R$ 21,99",https://livrariacultura.vteximg.com.br/arquivos/ids/155436262-300-300/2112337306.png?v=638206881335530000
Humor e Entretenimento,LIVRO COQUETEL SÓ CAÇA PALAVRAS NÍVEL MÉDIO ED 17,"Autor:COQUETEL, EQUIPE","R$ 12,99",https://livrariacultura.vteximg.com.br/arquivos/ids/153416064-300-300/2112337290.png?v=638193999294400000
Humor e Entretenimento,LIVRO COQUETEL OURO DÓLAR NÍVEL MÉDIO ED 34,"Autor:COQUETEL, EQUIPE","R$ 15,99",https://livrariacultura.vteximg.com.br/arquivos/ids/153416041-300-300/2112337255.png?v=638193999206270000
Humor e Entretenimento,LIVRO COQUETEL LETRÃO NÍVEL MÉDIO ED 03,"Autor:COQUETEL, EQUIPE","R$ 21,99",https://livrariacultura.vteximg.com.br/arquivos/ids/153416047-300-300/2112337235.png?v=638193999219370000
Humor e Entretenimento,LIVRO MAIS 150 CRIPTOS NÍVEL MÉDIO ED 31,"Autor:COQUETEL, EQUIPE","R$ 26,90",https://livrariacultura.vteximg.com.br/arquivos/ids/153415994-300-300/2112337234.png?v=638193999151630000
Humor e Entretenimento,365 CRUZADAS DIRETAS - NÍVEL DIFÍCIL I,"Autor:CULTURAL, CIRANDA","R$ 19,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152565739-300-300/2112336693.jpg?v=638188824142500000
Humor e Entretenimento,365 CRUZADAS DIRETAS - NÍVEL MÉDIO I,"Autor:CULTURAL, CIRANDA","R$ 19,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152565690-300-300/2112336724.jpg?v=638188824085930000
Humor e Entretenimento,ANIMAIS DA FAZENDA,"Autor:CULTURAL, CIRANDA","R$ 44,90",https://livrariacultura.vteximg.com.br/arquivos/ids/155326999-300-300/2112336593.jpg?v=638206262002770000
Humor e Entretenimento,DISNEY 100 ANOS DE EMOÇÃO – O LIVRO DE COLORIR,"Tradutor:VIEIRA, FELIPE CF|Autor:DISNEY, ARQUIVOS WALT","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152590100-300-300/2112336563.jpg?v=638188933863100000
Humor e Entretenimento,QUATRO TITIAS E UM CASAMENTO (LIVRO 2),"Autor:SUTANTO, JESSE Q.","R$ 59,90",https://livrariacultura.vteximg.com.br/arquivos/ids/151565561-300-300/2112336271.jpg?v=638181074763500000
Humor e Entretenimento,LIVRO COQUETEL PALAVRAS CRUZADAS DESAFIO ED 60,"Autor:COQUETEL, EQUIPE","R$ 21,99",https://livrariacultura.vteximg.com.br/arquivos/ids/154481408-300-300/2112336207.jpg?v=638201564506830000
Humor e Entretenimento,LIVRO COQUETEL DESAFIOS DE LÓGICA ED 25,"Autor:COQUETEL, EQUIPE","R$ 21,99",https://livrariacultura.vteximg.com.br/arquivos/ids/152573722-300-300/2112336183.jpg?v=638188862762570000
Humor e Entretenimento,LIVRO COQUETEL CAÇA-PALAVRAS NÍVEL FÁCIL ED 51,"Autor:COQUETEL, EQUIPE","R$ 21,99",https://livrariacultura.vteximg.com.br/arquivos/ids/152570163-300-300/2112336204.jpg?v=638188844937530000
Humor e Entretenimento,LIVRO COQUETEL LETRÃO DESAFIO ED 03,"Autor:COQUETEL, EQUIPE","R$ 21,99",https://livrariacultura.vteximg.com.br/arquivos/ids/152573718-300-300/2112336182.jpg?v=638188862756630000
Humor e Entretenimento,LIVRO COQUETEL JUMBO CRIPTO NÍVEL MÉDIO ED 15,"Autor:COQUETEL, EQUIPE","R$ 26,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152588892-300-300/2112336187.jpg?v=638188927402600000
Humor e Entretenimento,LIVRO COQUETEL OURO DÓLAR NÍVEL MÉDIO ED 33,"Autor:COQUETEL, EQUIPE","R$ 15,99",https://livrariacultura.vteximg.com.br/arquivos/ids/152593645-300-300/2112336195.jpg?v=638188951838800000
Humor e Entretenimento,LIVRO COQUETEL SUPER CRUZADAS DIRETAS NÍVEL MÉDIO ED 16,"Autor:COQUETEL, EQUIPE","R$ 12,99",https://livrariacultura.vteximg.com.br/arquivos/ids/153527329-300-300/2112336185.jpg?v=638194777206300000
Humor e Entretenimento,LIVRO COQUETEL MAIS 150 CAÇA-PALAVRAS E MUITOS OUTROS JOGOS NÍVEL FÁCIL ED 28,"Autor:COQUETEL, EQUIPE","R$ 26,90",https://livrariacultura.vteximg.com.br/arquivos/ids/154481431-300-300/2112336208.jpg?v=638201564515270000
Humor e Entretenimento,ALMANAQUE PASSATEMPOS SABE-TUDO 365 CAÇA-PALAVRAS - LITERATURA BRASILEIRA,Autor:ON LINE EDITORA|Organizador:ON LINE EDITORA,"R$ 29,99",https://livrariacultura.vteximg.com.br/arquivos/ids/155565698-300-300/2112336174.jpg?v=638207737143430000
Humor e Entretenimento,ALMANAQUE PASSATEMPOS SABE-TUDO 365 CAÇA-PALAVRAS - ANIMAIS DO BRASIL E DO MUNDO,Autor:ON LINE EDITORA|Organizador:ON LINE EDITORA,"R$ 29,99",https://livrariacultura.vteximg.com.br/arquivos/ids/155565686-300-300/2112336130.jpg?v=638207737112800000
Humor e Entretenimento,PRINCESAS,"Autor:CULTURAL, CIRANDA","R$ 29,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152198794-300-300/2112336170.jpg?v=638186515308130000
Informática e Tecnologia,CONVERSANDO COM ROBÔS,"Autor:MURTA, RODRIGO","R$ 79,90",https://livrariacultura.vteximg.com.br/arquivos/ids/156459897-300-300/2112337372.jpg?v=638213319522670000
Informática e Tecnologia,A SEGUNDA ALMA,"Autor:CRUZ DA SILVA, JUCÉLIO","R$ 56,90",https://livrariacultura.vteximg.com.br/arquivos/ids/152624142-300-300/2112336885.jpg?v=638189131898370000
Informática e Tecnologia,ENTRE NO METAVERSO,"Autor:RIJMENAM, MARK VAN","R$ 69,90",https://livrariacultura.vteximg.com.br/arquivos/ids/153933961-300-300/2112335922.jpg?v=638197399595730000
Informática e Tecnologia,TI – TECNOLOGIA DA INFORMAÇÃO,"Autor:WOERNER, STEPHANIE L.","R$ 89,00",https://livrariacultura.vteximg.com.br/arquivos/ids/153424510-300-300/2112335514.jpg?v=638194044634770000
Informática e Tecnologia,CYBERPSICOLOGIA E MARKETING ONLINE,"Autor:VOLPONI, RODRIGO","R$ 54,90",https://livrariacultura.vteximg.com.br/arquivos/ids/153001219-300-300/2112334773.jpg?v=638191416232430000
Informática e Tecnologia,ALGORITMOS E ESTRUTURAS DE DADOS EM LINGUAGEM C,"Autor:BACKES, ANDRÉ RICARDO","R$ 199,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148580767-300-300/2112331744.jpg?v=638146546318000000
Informática e Tecnologia,SIMPLIFICANDO ALGORITMOS,"Autor:MENÉNDEZ, ANDRÉS","R$ 125,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148210419-300-300/2112329889.png?v=638144349981630000
Informática e Tecnologia,PROGRAMAÇÃO DE SISTEMAS EMBARCADOS,"Autor:ALMEIDA, RODRIGO MAXIMIANO A.","R$ 179,00",https://livrariacultura.vteximg.com.br/arquivos/ids/148210711-300-300/2112331031.jpg?v=638144350209730000
Informática e Tecnologia,A ROBOTICA,N/A,"R$ 22,50",https://livrariacultura.vteximg.com.br/arquivos/ids/135668834-300-300/710011304.jpg?v=638058948868470000
